Institution,Nickname,Location,Founded,Joined,Left,Enrollment,Conference
Rice,,,,1915,1996,,Southwest Conference
SMU,,,,1918,1996,,Southwest Conference
Air Force,Falcons,,,1980.0,1998.0,,Western Athletic Conference
Arizona,Wildcats,,,1962.0,1977.0,,Western Athletic Conference
Arizona State,Sun Devils,,,1962.0,1977.0,,Western Athletic Conference
Boise State,Broncos,,,2001.0,2010.0,,Western Athletic Conference
BYU,Cougars,,,1962.0,1998.0,,Western Athletic Conference
Fresno State,Bulldogs,,,1992.0,2011.0,,Western Athletic Conference
Colorado State,Rams,,,1967.0,1998.0,,Western Athletic Conference
Hawaii,Warriors,,,1979.0,2011.0,,Western Athletic Conference
Idaho,Vandals,,,2005.0,2012.0,,Western Athletic Conference
Lamar,Cardinals,,,2021.0,2021.0,,Western Athletic Conference
Louisiana,Tech Bulldogs,,,2001.0,2012.0,,Western Athletic Conference
UNLV,Rebels,,,1996.0,1998.0,,Western Athletic Conference
Nevada,Wolf Pack,,,2000.0,2011.0,,Western Athletic Conference
New Mexico,Lobos,,,1962.0,1998.0,,Western Athletic Conference
New Mexico State,Aggies,,,2005.0,2012.0,,Western Athletic Conference
Rice,Owls,,,1996.0,2004.0,,Western Athletic Conference
San Diego State,Aztecs,,,1978.0,1998.0,,Western Athletic Conference
San Jose State,Spartans,,,1996.0,2012.0,,Western Athletic Conference
SMU,Mustangs,,,1996.0,2004.0,,Western Athletic Conference
TCU,Horned Frogs,,,1996.0,2000.0,,Western Athletic Conference
UTEP,Miners,,,1967.0,2004.0,,Western Athletic Conference
UTSA,Roadrunners,,,2012.0,2012.0,,Western Athletic Conference
Texas State,Bobcats,,,2012.0,2012.0,,Western Athletic Conference
Tulsa,Golden Hurricane,,,1996.0,2004.0,,Western Athletic Conference
Utah,Utes,,,1962.0,1998.0,,Western Athletic Conference
Utah State,Aggies,,,2005.0,2012.0,,Western Athletic Conference
Wyoming,Cowboys,,,1962.0,1998.0,,Western Athletic Conference
Sam Houston State,Bearkats,,,2021.0,2022.0,,Western Athletic Conference
Davidson,Wildcats,"Davidson, North Carolina",1837.0,2014,,1843,A-10
Dayton,Flyers,"Dayton, Ohio",1850.0,1995,,11241,A-10
Duquesne,Dukes,"Pittsburgh, Pennsylvania",1878.0,1976,,9274,A-10
Fordham,Rams,"New York, New York",1841.0,1995,,16515,A-10
George Mason,Patriots,"Fairfax, Virginia",1957.0,2013,,35047,A-10
George Washington,Revolutionaries,"Washington, D.C.",1821.0,1976,,28172,A-10
La Salle,Explorers,"Philadelphia, Pennsylvania",1863.0,1995,,5191,A-10
Loyola  Chicago,Ramblers,"Chicago, Illinois",1870.0,2022,,"16,437[4]",A-10
Massachusetts Amherst,Minutemen and Minutewomen,"Amherst, Massachusetts",1863.0,1976,,30593,A-10
Rhode Island,Rams,"Kingston, Rhode Island",1892.0,1980,,16883,A-10
Richmond,Spiders,"Richmond, Virginia",1840.0,2001,,4002,A-10
St. Bonaventure,Bonnies,"St. Bonaventure, New York",1858.0,1979,,2381,A-10
Saint Joseph's,Hawks,"Philadelphia, Pennsylvania",1851.0,1982,,7589,A-10
Saint Louis,Billikens,"St. Louis, Missouri",1818.0,2005,,12883,A-10
Virginia Commonwealth,Rams,"Richmond, Virginia",1838.0,2012,,31076,A-10
Butler,Bulldogs,"Indianapolis, Indiana",1855.0,2012,2013.0,4667,A-10
Charlotte,49ers,"Charlotte, North Carolina",1946.0,2005,2013.0,26232,A-10
Pittsburgh,Panthers,"Pittsburgh, Pennsylvania",1787.0,1976,1982.0,28766,A-10
Rutgers,Scarlet Knights,"New Brunswick, New Jersey",1766.0,1976,1995.0,58788,A-10
Temple,Owls,"Philadelphia, Pennsylvania",1884.0,1982,2013.0,38648,A-10
Villanova,Wildcats,"Villanova, Pennsylvania",1842.0,1976,1980.0,10482,A-10
Virginia Tech,Hokies,"Blacksburg, Virginia",1872.0,1995,2000.0,31087,A-10
West Virginia,Mountaineers,"Morgantown, West Virginia",1867.0,1976,1995.0,29707,A-10
Xavier,Musketeers,"Cincinnati, Ohio",1831.0,1995,2013.0,6650,A-10
Boston College,Terriers,"Boston, Massachusetts",1839.0,1973,1997.0,29978,A-10
Connecticut,Huskies,"Storrs, Connecticut",1881.0,1947,1999.0,25583,A-10
Delaware,Fightin' Blue Hens,"Newark, Delaware",1743.0,1986,2006.0,19391,A-10
Hofstra,Pride,"Hempstead, New York",1935.0,2001,2006.0,12400,A-10
James Madison,Dukes,"Harrisonburg, Virginia",1908.0,1993,2006.0,19927,A-10
Maine,Black Bears,"Orono, Maine",1865.0,1947,2006.0,10901,A-10
New Hampshire,Wildcats,"Durham, New Hampshire",1866.0,1947,2006.0,11942,A-10
Northeastern,Huskies,"Boston, Massachusetts",1898.0,1993,2006.0,12913,A-10
Towson,Tigers,"Towson, Maryland",1866.0,2004,2006.0,21950,A-10
Villanova,Wildcats,"Villanova, Pennsylvania",1842.0,1988,2006.0,10482,A-10
The  William & Mary,Tribe,"Williamsburg, Virginia",1693.0,1993,2006.0,8258,A-10
Pennsylvania State,Nittany Lions,"University Park, Pennsylvania",1855.0,1982,1991.0,46810,A-10
Pennsylvania State,Nittany Lions,"University Park, Pennsylvania",1855.0,1976,1979.0,46810,A-10
Austin Peay State,Governors,"Clarksville, Tennessee",1927.0,2022,,10344,ASUN
Bellarmine,Knights,"Louisville, Kentucky",1950.0,2022,,3369,ASUN
Central Arkansas,Bears & Sugar Bears,"Conway, Arkansas",1907.0,2022,,10869,ASUN
Eastern Kentucky,Colonels,"Richmond, Kentucky",1874.0,2022,,16959,ASUN
Florida Gulf Coast,Eagles,"Fort Myers, Florida[b]",1997.0,2022,,15076,ASUN
Jacksonville State,Dolphins,"Jacksonville, Florida",1934.0,2022,,4213,ASUN
Kennesaw State,Owls,"Kennesaw, Georgia",1963.0,2022,,41181,ASUN
Lipscomb,Bisons,"Nashville, Tennessee",1891.0,2022,,4620,ASUN
North Alabama,Lions,"Florence, Alabama",1830.0,2022,,7650,ASUN
North Florida,Ospreys,"Jacksonville, Florida",1969.0,2022,,16309,ASUN
Queens Charlotte,Royals,"Charlotte, North Carolina",1857.0,2022,,2463,ASUN
Stetson,Hatters,"DeLand, Florida",1883.0,2022,,4330,ASUN
Alabama Christian  /Faulkner,Eagles,"Montgomery, Alabama",1942.0,1981,1997.0,,Southern States Conference
Alabama  /Montevallo,Falcons,"Montevallo, Alabama",1896.0,1960,1995.0,,Southern States Conference
Alabama in Huntsville,Chargers,"Huntsville, Alabama",1950.0,1973,1993.0,,Southern States Conference
Athens,Bears,"Athens, Alabama",1822.0,1948,1997.0,,Southern States Conference
Auburn  at Montgomery,Warhawks,"Montgomery, Alabama",1967.0,1975,1997.0,,Southern States Conference
Belhaven,Blazers,"Jackson, Mississippi",1883.0,1974,1981.0,,Southern States Conference
Birmingham–Southern,Panthers,"Birmingham, Alabama",1856.0,1977,1996.0,,Southern States Conference
Columbus,Cougars,"Columbus, Georgia",1958.0,1972,1973.0,,Southern States Conference
Eldridge Baptist Academy /Eldridge Junior,,"Eldridge, Alabama",1890.0,1939,1940.0,,Southern States Conference
Florence State Teachers  /North Alabama,Lions,"Florence, Alabama",1830.0,1949,1971.0,,Southern States Conference
Huntingdon,Hawks,"Montgomery, Alabama",1854.0,1960,1995.0,,Southern States Conference
Jacksonville State Teachers  /Jacksonville State  /Jacksonville State,Gamecocks,"Jacksonville, Alabama",1883.0,1938,1970.0,,Southern States Conference
Life,Running Eagles,"Marietta, Georgia",1974.0,1996,1997.0,,Southern States Conference
Livingston State Teachers  /Livingston State,Tigers,"Livingston, Alabama",1835.0,1938,1970.0,,Southern States Conference
Marion Military Institute,Tigers,"Marion, Alabama",1842.0,1938,1956.0,,Southern States Conference
Saint Bernard  /Southern Benedictine,Saints,"Cullman, Alabama",1929.0,1938,1979.0,,Southern States Conference
Selma,Bulldogs,"Selma, Alabama",1878.0,,1997.0,,Southern States Conference
Snead State Junior,Parsons,"Boaz, Alabama",1898.0,1938,1956.0,,Southern States Conference
Southern Union Junior,Bison,"Wadley, Alabama",1922.0,1940,1956.0,,Southern States Conference
Spring Hill,Badgers,"Mobile, Alabama",1830.0,1942,1981.0,,Southern States Conference
Talladega,Tornadoes,"Talladega, Alabama",1867.0,1982,1997.0,,Southern States Conference
Thomas,Night Hawks,"Thomasville, Georgia",1950.0,1996,1997.0,,Southern States Conference
Troy State Teachers  /Troy State  /Troy State,Trojans,"Troy, Alabama",1887.0,1938,1972.0,,Southern States Conference
William Carey,Crusaders,"Hattiesburg, Mississippi",1892.0,1972,1981.0,,Southern States Conference
West Florida,Argonauts,"Pensacola, Florida",1963.0,1975,1994.0,,Southern States Conference
Oklahoma Baptist,Bison,"Shawnee, Oklahoma",1910.0,1929,1932.0,,Big 4 Conference
Oklahoma City,Goldbugs,"Oklahoma City, Oklahoma",1904.0,1929,1932.0,,Big 4 Conference
Phillips,Haymakers,"Enid, Oklahoma",1906.0,1929,1932.0,,Big 4 Conference
Tulsa,Tulsa Golden Hurricane,"Tulsa, Oklahoma",1894.0,1929,1932.0,,Big 4 Conference
Eastern Washington,Eagles,"Cheney, Washington",1882.0,1987,,12607,
Idaho State,Bengals,"Pocatello, Idaho",1901.0,1963,,12805,
Montana,Grizzlies[b],"Missoula, Montana",1893.0,1963,,10104,
Montana State,Bobcats,"Bozeman, Montana",1893.0,1963,,16766,
Northern Arizona,Lumberjacks,"Flagstaff, Arizona",1899.0,1970,,22791,
Northern Colorado,Bears,"Greeley, Colorado",1889.0,2006,,12862,
Portland State,Vikings,"Portland, Oregon",1946.0,1996,,27285,
"California State , Sacramento",Hornets,"Sacramento, California",1947.0,1996,,31181,
Weber State,Wildcats,"Ogden, Utah",1889.0,1963,,27465,
Boise State,Broncos,"Boise, Idaho",1932.0,1970,1996.0,26155,
"California State , Northridge",Matadors,"Northridge, California",1958.0,1996,2001.0,38511,
Gonzaga,Bulldogs,"Spokane, Washington",1887.0,1963,1979.0,7421,
Nevada,Wolf Pack,"Reno, Nevada",1874.0,1979,1992.0,21034,
North Dakota,Fighting Hawks,"Grand Forks, North Dakota",1883.0,2012,2018.0,13772,
Southern Utah,Thunderbirds,"Cedar City, Utah",1897.0,2012,2022.0,14330,
Idaho,Vandals,"Moscow, Idaho",1889.0,1963,1996.0,11926,Big Sky
Idaho,Vandals,"Moscow, Idaho",1889.0,2018,,11926,Big Sky
Charleston Southern,Buccaneers,"North Charleston, South Carolina",1964.0,1983,,3414.0,Big South
Gardner–Webb,Runnin' Bulldogs,"Boiling Springs, North Carolina",1905.0,2008,,3594.0,Big South
High Point,Panthers,"High Point, North Carolina",1924.0,1999,,4545.0,Big South
Longwood,Lancers,"Farmville, Virginia",1839.0,2012,,4470.0,Big South
Presbyterian,Blue Hose,"Clinton, South Carolina",1880.0,2007,,1330.0,Big South
Radford,Highlanders,"Radford, Virginia",1910.0,1983,,10700.0,Big South
North Carolina at Asheville,Bulldogs,"Asheville, North Carolina",1927.0,1984,,3762.0,Big South
South Carolina Upstate,Spartans,"Spartanburg, South Carolina",1967.0,2018,,6000.0,Big South
Winthrop,Eagles,"Rock Hill, South Carolina",1886.0,1983,,6073.0,Big South
Armstrong State,Pirates,"Savannah, Georgia",1935.0,1983,1987.0,,Big South
Augusta,Jaguars,"Augusta, Georgia",1785.0,1983,1990.0,,Big South
Birmingham–Southern,Panthers,"Birmingham, Alabama",1856.0,2000,2007.0,,Big South
Coastal Carolina,Chanticleers,"Conway, South Carolina",1954.0,1983,2016.0,,Big South
Davidson,Wildcats,"Davidson, North Carolina",1837.0,1990,1992.0,,Big South
Elon,Phoenix,"Elon, North Carolina",1889.0,1999,2003.0,,Big South
Hampton,Pirates,"Hampton, Virginia",1868.0,2018,2022.0,,Big South
Liberty,Flames and Lady Flames,"Lynchburg, Virginia",1971.0,1991,2018.0,,Big South
"Maryland, Baltimore County",Retrievers,"Catonsville, Maryland",1966.0,1992,1998.0,,Big South
North Carolina A&T State,Aggies,"Greensboro, North Carolina",1891.0,2021,2022.0,,Big South
North Carolina at Greensboro,Spartans,"Greensboro, North Carolina",1891.0,1992,1997.0,,Big South
Towson,Tigers,"Towson, Maryland",1866.0,1992,1995.0,,Big South
Virginia Military Institute,Keydets,"Lexington, Virginia",1839.0,2003,2014.0,,Big South
Campbell,Fighting Camels,"Buies Creek, North Carolina",1887.0,1983,1994.0,6448.0,Big South
Campbell,Fighting Camels,"Buies Creek, North Carolina",1887.0,1983,1994.0,6448.0,Big South
California Polytechnic State (Cal Poly San Luis Obispo),Mustangs,"San Luis Obispo, California",1901.0,1996,2000.0,22287,Big West
"California State , Bakersfield(Cal State Bakersfield)",Roadrunners,"Bakersfield, California",1965.0,2020,2000.0,9261,Big West
"California State , Fullerton(Cal State Fullerton)",Titans,"Fullerton, California",1957.0,1974,2000.0,38726,Big West
"California State , Northridge(Cal State Northridge)",Matadors,"Northridge, California[c]",1958.0,2001,2000.0,38511,Big West
Hawaiʻi at Mānoa(Hawaiʻi),Rainbow Warriors& Rainbow Wahine[e],"Honolulu, Hawaii",1907.0,2012,2000.0,19074,Big West
"California State , Long Beach(Long Beach State)",Beach[f],"Long Beach, California",1949.0,1969,2000.0,39360,Big West
"California, Davis(UC Davis)",Aggies,"Davis, California",1905.0,2007,2000.0,40772,Big West
"California, Irvine(UC Irvine)",Anteaters,"Irvine, California",1965.0,1977,2000.0,37243,Big West
"California, Riverside(UC Riverside)",Highlanders,"Riverside, California",1954.0,2001,2000.0,26809,Big West
"California, San Diego(UC San Diego)",Tritons,"La Jolla, California[h]",1960.0,2020,2000.0,42968,Big West
Boise State,Broncos,"Boise, Idaho",1932.0,1996,2000.0,22678,Big West
"California State , Fresno(Fresno State)",Bulldogs,"Fresno, California",1911.0,1969,1992.0,22565,Big West
"California State , Los Angeles(Cal State L.A.)",Golden Eagles,"Los Angeles, California",1947.0,1969,1974.0,20619,Big West
Idaho,Vandals,"Moscow, Idaho",1889.0,1996,2000.0,11180,Big West
"Nevada, Las Vegas(UNLV)",Rebels,"Las Vegas, Nevada[a]",1957.0,1982,1996.0,28203,Big West
"Nevada, Reno",Wolf Pack,"Reno, Nevada",1874.0,1992,2000.0,18227,Big West
New Mexico State,Aggies,"Las Cruces, New Mexico",1888.0,1983,2000.0,18497,Big West
North Texas,Mean Green,"Denton, Texas",1890.0,1996,2000.0,35778,Big West
San Diego State,Aztecs,"San Diego, California",1897.0,1969,1978.0,28789,Big West
San Jose State,Spartans,"San Jose, California",1857.0,1969,1996.0,32697,Big West
Utah State,Aggies,"Logan, Utah",1888.0,1978,2000.0,28796,Big West
the Pacific,Tigers,"Stockton, California",1851.0,1969,2000.0,6296,Big West
Arkansas State,Indians[a],"Jonesboro, Arkansas",1909.0,1993,1995.0,13438,Big West
Louisiana Tech,Bulldogs,"Ruston, Louisiana",1894.0,1993,1995.0,11581,Big West
Northern Illinois,Huskies,"DeKalb, Illinois",1895.0,1993,1995.0,25313,Big West
Southwestern Louisiana,Ragin' Cajuns,"Lafayette, Louisiana",1898.0,1993,1996.0,19188,Big West
"California, Santa Barbara",Gauchos,"Santa Barbara, California",1909.0,1969,1973.0,25057,Big West
"California, Santa Barbara",Gauchos,"Santa Barbara, California",1909.0,1976,2000.0,25057,Big West
at Albany,Great Danes,"Albany, New York",1844.0,2013,,17944,CAA
Campbell,Fighting Camels,"Buies Creek, North Carolina",1887.0,2023,,5622,CAA
Delaware,Fightin' Blue Hens,"Newark, Delaware",1743.0,2007,,23281,CAA
Elon,Phoenix,"Elon, North Carolina",1889.0,2014,,6991,CAA
Hampton,Pirates,"Hampton, Virginia",1868.0,2022,,3516,CAA
Maine,Black Bears,"Orono, Maine",1865.0,2007,,11404,CAA
Monmouth,Hawks,"West Long Branch, New Jersey",1933.0,2022,,5675,CAA
New Hampshire,Wildcats,"Durham, New Hampshire",1866.0,2007,,15305,CAA
North Carolina A&T State,Aggies,"Greensboro, North Carolina",1891.0,2023,,13332,CAA
Towson,Tigers,"Towson, Maryland",1866.0,2007,,22923,CAA
Rhode Island,Rams,"Kingston, Rhode Island",1892.0,2007,,16883,CAA
Richmond,Spiders,"Richmond, Virginia",1830.0,2007,,4002,CAA
Stony Brook,Seawolves,"Stony Brook, New York",1957.0,2013,,26782,CAA
Villanova,Wildcats,"Villanova, Pennsylvania",1842.0,2007,,11023,CAA
William & Mary,Tribe,"Williamsburg, Virginia",1693.0,2007,,8817,CAA
Hofstra,Pride,"Hempstead, New York",1935.0,2007,2009.0,10871,CAA
Georgia State,Panthers,"Atlanta, Georgia",1913.0,2012,2013.0,32082,CAA
James Madison,Dukes,"Harrisonburg, Virginia",1908.0,2007,2022.0,21227,CAA
Massachusetts,Minutemen,"Amherst, Massachusetts",1863.0,2007,2012.0,28635,CAA
Northeastern,Huskies,"Boston, Massachusetts",1898.0,2007,2009.0,21627,CAA
Old Dominion,Monarchs,"Norfolk, Virginia",1930.0,2011,2013.0,24932,CAA
"California State Polytechnic , Humboldt",Lumberjacks,Arcata,1913.0,2006,,,CCAA
"California State Polytechnic , Pomona",Broncos,Pomona,1938.0,1967,,,CCAA
California State - Chico,Wildcats,Chico,1887.0,1998,,,CCAA
California State - Dominguez Hills,Toros,Carson,1960.0,1980,,,CCAA
California State - East Bay,Pioneers,Hayward,1957.0,2009,,,CCAA
California State - Monterey Bay,Otters,Seaside,1994.0,2004,,,CCAA
California State - San Bernardino,Coyotes,San Bernardino,1965.0,1991,,,CCAA
California State  San Marcos,Cougars,San Marcos,1989.0,2015,,,CCAA
California State - Stanislaus,Warriors,Turlock,1957.0,1998,,,CCAA
San Francisco State,Gators,San Francisco,1899.0,1998,,,CCAA
Sonoma State,Seawolves,Rohnert Park,1960.0,1998,,,CCAA
California Polytechnic State,Mustangs,San Luis Obispo,1901.0,1945,1994.0,21306.0,CCAA
California State - Bakersfield,Roadrunners,Bakersfield,1965.0,1972,2007.0,8720.0,CCAA
California State - Fresno,Bulldogs,Fresno,1911.0,1939,1969.0,25341.0,CCAA
California State - Fullerton,Titans,Fullerton,1957.0,1967,1974.0,40235.0,CCAA
California State - Long Beach,49ers[d],Long Beach,1949.0,1956,1969.0,37776.0,CCAA
California State - Northridge,Matadors,Northridge,1958.0,1961,1990.0,39916.0,CCAA
"California, Davis",Aggies,Davis,1905.0,1998,2004.0,36441.0,CCAA
"California, Riverside",Highlanders,Riverside,1954.0,1969,2000.0,22921.0,CCAA
"California, San Diego",Tritons,La Jolla,1960.0,2000,2020.0,33735.0,CCAA
"California, Santa Barbara",Gauchos,Santa Barbara,1891.0,1939,1969.0,24346.0,CCAA
Chapman,Panthers,Orange,1861.0,1978,1993.0,10001.0,CCAA
Grand Canyon,Antelopes,Phoenix(Arizona),1949.0,1994,2004.0,25000.0,CCAA
the Pacific,Tigers,Stockton,1851.0,1946,1949.0,6652.0,CCAA
Pepperdine,Waves,Malibu,1937.0,1945,1954.0,6000.0,CCAA
San Diego State,Aztecs,San Diego,1897.0,1939,1969.0,35578.0,CCAA
San Jose State,Spartans,San Jose,1857.0,1939,1950.0,33025.0,CCAA
California State - Los Angeles,Golden Eagles,"Los Angeles, California",1947.0,1963,1968.0,27959.0,CCAA
California State - Los Angeles,Golden Eagles,"Los Angeles, California",1947.0,1974,,27959.0,CCAA
Barton,Bulldogs,"Wilson, North Carolina",1902.0,1930,,1213,Carolinas Conference
Belmont Abbey,Crusaders,"Belmont, North Carolina",1876.0,1989,,1517,Carolinas Conference
Chowan,Hawks,"Murfreesboro, North Carolina",1848.0,2019,,981,Carolinas Conference
Converse,Valkyries,"Spartanburg, South Carolina",1889.0,2007,,1377,Carolinas Conference
Emmanuel,Lions,"Franklin Springs, Georgia",1919.0,2014,,861,Carolinas Conference
Erskine,Flying Fleet,"Due West, South Carolina",1839.0,1995,,825,Carolinas Conference
Francis Marion,Patriots,"Florence, South Carolina",1970.0,2021,,3923,Carolinas Conference
King,Tornado,"Bristol, Tennessee",1867.0,2011,,1658,Carolinas Conference
Lees–McRae,Bobcats,"Banner Elk, North Carolina",1899.0,1993,,873,Carolinas Conference
Mount Olive,Trojans,"Mount Olive, North Carolina",1951.0,1988,,2273,Carolinas Conference
North Greenville,Crusaders,"Tigerville, South Carolina",1891.0,2011,,2273,Carolinas Conference
Southern Wesleyan,Warriors,"Central, South Carolina",1908.0,2014,,1345,Carolinas Conference
North Carolina at Pembroke,Braves,"Pembroke, North Carolina",1887.0,,,8318,Carolinas Conference
Young Harris,Mountain Lions,"Young Harris, Georgia",1886.0,2023,,1408,Carolinas Conference
Anderson,Trojans,"Anderson, South Carolina",1911.0,1998,2010.0,4008,Carolinas Conference
Appalachian State,Mountaineers,"Boone, North Carolina",1899.0,1930,1968.0,20641,Carolinas Conference
Catawba,Indians,"Salisbury, North Carolina",1851.0,1930,1989.0,1207,Carolinas Conference
Coker,Cobras,"Hartsville, South Carolina",1908.0,1991,2013.0,1087,Carolinas Conference
East Carolina,Pirates,"Greenville, North Carolina",1907.0,1947,1962.0,28021,Carolinas Conference
Elon,Phoenix,"Elon, North Carolina",1889.0,1930,1989.0,7127,Carolinas Conference
Guilford,Quakers,"Greensboro, North Carolina",1837.0,1930,1988.0,1198,Carolinas Conference
High Point,Panthers,"High Point, North Carolina",1924.0,1930,1997.0,5860,Carolinas Conference
Limestone,Saints,"Gaffney, South Carolina",1845.0,1998,2020.0,1840,Carolinas Conference
Longwood,Lancers,"Farmville, Virginia",1839.0,1995,2003.0,4612,Carolinas Conference
Mars Hill,Lions,"Mars Hill, North Carolina",1856.0,1972,1976.0,1072,Carolinas Conference
Newberry,Wolves,"Newberry, South Carolina",1856.0,1961,1972.0,1242,Carolinas Conference
Pfeiffer,Falcons,"Misenheimer, North Carolina",1885.0,1960,2017.0,1185,Carolinas Conference
Presbyterian,Blue Hose,"Clinton, South Carolina",1880.0,1964,1972.0,1231,Carolinas Conference
Queens Charlotte,Royals,"Charlotte, North Carolina",1857.0,1995,2013.0,2063,Carolinas Conference
St. Andrews,Knights,"Laurinburg, North Carolina",1958.0,1988,2012.0,887,Carolinas Conference
Western Carolina,Catamounts,"Cullowhee, North Carolina",1889.0,1933,1969.0,11877,Carolinas Conference
Wingate,Bulldogs,"Wingate, North Carolina",1896.0,1979,1989.0,3440,Carolinas Conference
Birmingham-Southern,Panthers,"Birmingham, Alabama",1856.0,1930,1942.0,1300,Dixie
Samford,Bulldogs,"Homewood, Alabama",1841.0,1930,1942.0,5692,Dixie
Rhodes,Lynx,"Memphis, Tennessee",1848.0,1930,1942.0,2000,Dixie
Tennessee at Chattanooga,Mocs,"Chattanooga, Tennessee",1886.0,1930,1942.0,11561,Dixie
Spring Hill,Badgers,"Mobile, Alabama",1830.0,1930,1942.0,1500,Dixie
Mercer,Bears,"Macon, Georgia",1833.0,1930,1942.0,8600,Dixie
Loyola  New Orleans,Wolf Pack,"New Orleans, Louisiana",1912.0,1932,1942.0,4261,Dixie
Florida State,Seminoles,"Tallahassee, Florida",1851.0,1948,1950.0,41867,Dixie
Howard,Bulldogs,"Homewood, Alabama",1841.0,1948,1949.0,5692,Dixie
Stetson,Hatters,"DeLand, Florida",1883.0,1948,1949.0,4378,Dixie
Tampa,Spartans,"Tampa, Florida",1931.0,1948,1949.0,9269,Dixie
Florida Southern,Moccasins,"Lakeland, Florida",1883.0,1949,1954.0,3000,Dixie
Lambuth,Eagles,"Jackson, Tennessee",1843.0,1948,1949.0,1000,Dixie
Mercer,Bears,"Macon, Georgia",1833.0,1948,1954.0,8600,Dixie
Oglethorpe,Stormy Petrels,"Brookhaven, Georgia",1835.0,1948,1954.0,1200,Dixie
Millsaps,Majors,"Jackson, Mississippi",1890.0,1948,1954.0,1100,Dixie
Houston,Cougars,"Houston, Texas",,1949,1950.0,,Gulf Coast Conference
Midwestern State,Mustangs,"Wichita Falls, Texas",,1949,1957.0,,Gulf Coast Conference
North Texas,Mean Green,"Denton, Texas",,1949,1957.0,,Gulf Coast Conference
Trinity,Tigers,"San Antonio, Texas",,1949,1957.0,,Gulf Coast Conference
Abilene Christian,Wildcats,"Abilene, Texas",,1954,1957.0,,Gulf Coast Conference
Hardin-Simmons,Cowboys,"Abilene, Texas",,1956,1957.0,,Gulf Coast Conference
Arkansas Tech,Wonder Boys &Golden Suns,"Russellville, Arkansas",1909.0,1995,2011.0,12009,Mid-South Conference
Arkansas at Monticello,Boll Weevils &Cotton Blossoms,"Monticello, Arkansas",1910.0,1995,2011.0,3659,Mid-South Conference
Central Arkansas,Bears &Sugar Bears,"Conway, Arkansas",1907.0,1993,2006.0,10869,Mid-South Conference
Harding,Bisons &Lady Bisons,"Searcy, Arkansas",1924.0,2000,2011.0,6009,Mid-South Conference
Henderson State,Reddies,"Arkadelphia, Arkansas",1890.0,1993,2011.0,3530,Mid-South Conference
Jacksonville State,Gamecocks,"Jacksonville, Alabama",1883.0,1970,1993.0,9238,Mid-South Conference
Lincoln Memorial,Railsplitters,"Harrogate, Tennessee",1897.0,1992,2006.0,4867,Mid-South Conference
Mississippi  for Women,Blues[c],"Columbus, Mississippi",1884.0,1993,2003.0,2479,Mid-South Conference
New Orleans,Privateers,"New Orleans, Louisiana",1958.0,2011,2012.0,8511,Mid-South Conference
Nicholls State,Colonels,"Thibodaux, Louisiana",1948.0,1971,1979.0,6366,Mid-South Conference
North Alabama,Lions,"Florence, Alabama",1830.0,1971,2018.0,7650,Mid-South Conference
Northwestern State,Demons,"Natchitoches, Louisiana",1884.0,1971,1975.0,10979,Mid-South Conference
Ouachita Baptist,Tigers,"Arkadelphia, Arkansas",1886.0,2000,2011.0,1569,Mid-South Conference
Southeastern Louisiana,Lions,"Hammond, Louisiana",1925.0,1971,1979.0,14327,Mid-South Conference
Southern Arkansas,Muleriders,"Magnolia, Arkansas",1909.0,1995,2011.0,4138,Mid-South Conference
Tennessee at Martin,Skyhawks,"Martin, Tennessee",1927.0,1970,1991.0,6705,Mid-South Conference
Troy State,Trojans,"Troy, Alabama",1887.0,1970,1991.0,17494,Mid-South Conference
Nicholls State,Colonels,"Thibodaux, Louisiana",1948.0,1984,1987.0,,Gulf Star Conference
Northwestern State,Demons,"Natchitoches, Louisiana",1884.0,1984,1987.0,,Gulf Star Conference
Sam Houston State,Bearkats,"Huntsville, Texas",1879.0,1984,1987.0,,Gulf Star Conference
Southeastern Louisiana,Lions,"Hammond, Louisiana",1925.0,1984,1987.0,,Gulf Star Conference
Southwest Texas State,Bobcats,"San Marcos, Texas",1899.0,1984,1987.0,,Gulf Star Conference
Stephen F. Austin State,Lumberjacks &Ladyjacks,"Nacogdoches, Texas",1921.0,1984,1987.0,,Gulf Star Conference
Ball State,Cardinals,"Muncie, Indiana",1918.0,1950,1968.0,22513,Indiana Collegiate Conference
Butler,Bulldogs,"Indianapolis, Indiana",1855.0,1950,1978.0,4685,Indiana Collegiate Conference
Evansville,Purple Aces,"Evansville, Indiana",1854.0,1950,1978.0,2483,Indiana Collegiate Conference
Indiana State,Sycamores,"Terre Haute, Indiana",1865.0,1950,1968.0,13044,Indiana Collegiate Conference
Saint Josephs,Pumas,"Rensselaer, Indiana",1889.0,1950,1978.0,1100,Indiana Collegiate Conference
Valparaiso,Crusaders,"Valparaiso, Indiana",1859.0,1950,1978.0,4500,Indiana Collegiate Conference
DePauw,Tigers,"Greencastle, Indiana",1837.0,1953,1977.0,2300,Indiana Collegiate Conference
Indianapolis,Greyhounds,"Indianapolis, Indiana",1902.0,1970,1978.0,5500,Indiana Collegiate Conference
Wabash,Little Giants,"Crawfordsville, Indiana",1832.0,1970,1976.0,900,Indiana Collegiate Conference
Butler,Bulldogs,"Indianapolis, Indiana",,1890,1894.0,,Indiana IAA
DePauw,Tigers,"Greencastle, Indiana",,1890,1894.0,,Indiana IAA
